Year_Quarter,Birth rate group,Indicator,Group,FertilityRate,Unit,MortalityRate
2023 Q1,Age-specific Birth Rates,40-44 years,All races and origins,12.5,"per 1,000 population",0.5
2023 Q1,Age-specific Birth Rates,40-44 years,Hispanic,15.5,"per 1,000 population",0.62
2023 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.8,"per 1,000 population",0.552
2023 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.6,"per 1,000 population",0.424
2023 Q1,Age-specific Birth Rates,45+ years,All races and origins,1.1,"per 1,000 population",0.044
2023 Q1,Age-specific Birth Rates,45+ years,Hispanic,1.2,"per 1,000 population",0.048
2023 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.4,"per 1,000 population",0.056
2023 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2023 Q1,General Fertility Rates,15-44 years,All races and origins,56,"per 1,000 population",2.24
2023 Q1,General Fertility Rates,15-44 years,Hispanic,66.2,"per 1,000 population",2.648
2023 Q1,General Fertility Rates,15-44 years,Non-Hispanic Black,56.1,"per 1,000 population",2.244
2023 Q1,General Fertility Rates,15-44 years,Non-Hispanic White,52.8,"per 1,000 population",2.112
2023 Q1,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2023 Q1,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2023 Q1,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.4,"per 1,000 population",0.016
2023 Q1,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2023 Q1,Teen Birth Rates,15-17 years,All races and origins,5.6,"per 1,000 population",0.224
2023 Q1,Teen Birth Rates,15-17 years,Hispanic,9.3,"per 1,000 population",0.372
2023 Q1,Teen Birth Rates,15-17 years,Non-Hispanic Black,9,"per 1,000 population",0.36
2023 Q1,Teen Birth Rates,15-17 years,Non-Hispanic White,3.1,"per 1,000 population",0.124
2023 Q1,Teen Birth Rates,18-19 years,All races and origins,25.6,"per 1,000 population",1.024
2023 Q1,Teen Birth Rates,18-19 years,Hispanic,40.1,"per 1,000 population",1.604
2023 Q1,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.5,"per 1,000 population",1.5
2023 Q1,Teen Birth Rates,18-19 years,Non-Hispanic White,17.6,"per 1,000 population",0.704
2023 Q1,Teen Birth Rates,15-19 years,All races and origins,13.5,"per 1,000 population",0.54
2023 Q1,Teen Birth Rates,15-19 years,Hispanic,21.2,"per 1,000 population",0.848
2023 Q1,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.2,"per 1,000 population",0.808
2023 Q1,Teen Birth Rates,15-19 years,Non-Hispanic White,9,"per 1,000 population",0.36
2022 Q4,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q4,Age-specific Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q4,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q4,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q4,Age-specific Birth Rates,15-19 years,All races and origins,13.6,"per 1,000 population",0.544
2022 Q4,Age-specific Birth Rates,15-19 years,Hispanic,21.3,"per 1,000 population",0.852
2022 Q4,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.3,"per 1,000 population",0.812
2022 Q4,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.1,"per 1,000 population",0.364
2022 Q4,Age-specific Birth Rates,20-24 years,All races and origins,57.5,"per 1,000 population",2.3
2022 Q4,Age-specific Birth Rates,20-24 years,Hispanic,79.2,"per 1,000 population",3.168
2022 Q4,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,71.1,"per 1,000 population",2.844
2022 Q4,Age-specific Birth Rates,20-24 years,Non-Hispanic White,48.3,"per 1,000 population",1.932
2022 Q4,Age-specific Birth Rates,25-29 years,All races and origins,93.5,"per 1,000 population",3.74
2022 Q4,Age-specific Birth Rates,25-29 years,Hispanic,113.8,"per 1,000 population",4.552
2022 Q4,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,90.7,"per 1,000 population",3.628
2022 Q4,Age-specific Birth Rates,25-29 years,Non-Hispanic White,91.1,"per 1,000 population",3.644
2022 Q4,Age-specific Birth Rates,30-34 years,All races and origins,97.5,"per 1,000 population",3.9
2022 Q4,Age-specific Birth Rates,30-34 years,Hispanic,103.1,"per 1,000 population",4.124
2022 Q4,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,79.8,"per 1,000 population",3.192
2022 Q4,Age-specific Birth Rates,30-34 years,Non-Hispanic White,100.4,"per 1,000 population",4.016
2022 Q4,Age-specific Birth Rates,35-39 years,All races and origins,55.3,"per 1,000 population",2.212
2022 Q4,Age-specific Birth Rates,35-39 years,Hispanic,59.5,"per 1,000 population",2.38
2022 Q4,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50.4,"per 1,000 population",2.016
2022 Q4,Age-specific Birth Rates,35-39 years,Non-Hispanic White,53,"per 1,000 population",2.12
2022 Q4,Age-specific Birth Rates,40-44 years,All races and origins,12.6,"per 1,000 population",0.504
2022 Q4,Age-specific Birth Rates,40-44 years,Hispanic,15.5,"per 1,000 population",0.62
2022 Q4,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.8,"per 1,000 population",0.552
2022 Q4,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.7,"per 1,000 population",0.428
2022 Q4,Age-specific Birth Rates,45+ years,All races and origins,1.1,"per 1,000 population",0.044
2022 Q4,Age-specific Birth Rates,45+ years,Hispanic,1.2,"per 1,000 population",0.048
2022 Q4,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.4,"per 1,000 population",0.056
2022 Q4,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2022 Q4,General Fertility Rates,15-44 years,All races and origins,56,"per 1,000 population",2.24
2022 Q4,General Fertility Rates,15-44 years,Hispanic,65.7,"per 1,000 population",2.628
2022 Q4,General Fertility Rates,15-44 years,Non-Hispanic Black,56.1,"per 1,000 population",2.244
2022 Q4,General Fertility Rates,15-44 years,Non-Hispanic White,53.1,"per 1,000 population",2.124
2022 Q4,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q4,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q4,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q4,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q4,Teen Birth Rates,15-17 years,All races and origins,5.6,"per 1,000 population",0.224
2022 Q4,Teen Birth Rates,15-17 years,Hispanic,9.3,"per 1,000 population",0.372
2022 Q4,Teen Birth Rates,15-17 years,Non-Hispanic Black,9,"per 1,000 population",0.36
2022 Q4,Teen Birth Rates,15-17 years,Non-Hispanic White,3.1,"per 1,000 population",0.124
2022 Q4,Teen Birth Rates,18-19 years,All races and origins,25.8,"per 1,000 population",1.032
2022 Q4,Teen Birth Rates,18-19 years,Hispanic,40.1,"per 1,000 population",1.604
2022 Q4,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.7,"per 1,000 population",1.508
2022 Q4,Teen Birth Rates,18-19 years,Non-Hispanic White,17.9,"per 1,000 population",0.716
2022 Q4,Teen Birth Rates,15-19 years,All races and origins,13.6,"per 1,000 population",0.544
2022 Q4,Teen Birth Rates,15-19 years,Hispanic,21.3,"per 1,000 population",0.852
2022 Q4,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.3,"per 1,000 population",0.812
2022 Q4,Teen Birth Rates,15-19 years,Non-Hispanic White,9.1,"per 1,000 population",0.364
2022 Q3,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q3,Age-specific Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q3,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q3,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q3,Age-specific Birth Rates,15-19 years,All races and origins,13.6,"per 1,000 population",0.544
2022 Q3,Age-specific Birth Rates,15-19 years,Hispanic,21.1,"per 1,000 population",0.844
2022 Q3,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.5,"per 1,000 population",0.82
2022 Q3,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.1,"per 1,000 population",0.364
2022 Q3,Age-specific Birth Rates,20-24 years,All races and origins,57.7,"per 1,000 population",2.308
2022 Q3,Age-specific Birth Rates,20-24 years,Hispanic,78.9,"per 1,000 population",3.156
2022 Q3,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,72,"per 1,000 population",2.88
2022 Q3,Age-specific Birth Rates,20-24 years,Non-Hispanic White,48.5,"per 1,000 population",1.94
2022 Q3,Age-specific Birth Rates,25-29 years,All races and origins,93.6,"per 1,000 population",3.744
2022 Q3,Age-specific Birth Rates,25-29 years,Hispanic,113.2,"per 1,000 population",4.528
2022 Q3,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,91.2,"per 1,000 population",3.648
2022 Q3,Age-specific Birth Rates,25-29 years,Non-Hispanic White,91.2,"per 1,000 population",3.648
2022 Q3,Age-specific Birth Rates,30-34 years,All races and origins,97.7,"per 1,000 population",3.908
2022 Q3,Age-specific Birth Rates,30-34 years,Hispanic,102.2,"per 1,000 population",4.088
2022 Q3,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,80,"per 1,000 population",3.2
2022 Q3,Age-specific Birth Rates,30-34 years,Non-Hispanic White,100.8,"per 1,000 population",4.032
2022 Q3,Age-specific Birth Rates,35-39 years,All races and origins,55.3,"per 1,000 population",2.212
2022 Q3,Age-specific Birth Rates,35-39 years,Hispanic,58.9,"per 1,000 population",2.356
2022 Q3,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50.1,"per 1,000 population",2.004
2022 Q3,Age-specific Birth Rates,35-39 years,Non-Hispanic White,53.3,"per 1,000 population",2.132
2022 Q3,Age-specific Birth Rates,40-44 years,All races and origins,12.6,"per 1,000 population",0.504
2022 Q3,Age-specific Birth Rates,40-44 years,Hispanic,15.3,"per 1,000 population",0.612
2022 Q3,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.6,"per 1,000 population",0.544
2022 Q3,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.7,"per 1,000 population",0.428
2022 Q3,Age-specific Birth Rates,45+ years,All races and origins,1.1,"per 1,000 population",0.044
2022 Q3,Age-specific Birth Rates,45+ years,Hispanic,1.1,"per 1,000 population",0.044
2022 Q3,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.4,"per 1,000 population",0.056
2022 Q3,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2022 Q3,General Fertility Rates,15-44 years,All races and origins,56,"per 1,000 population",2.24
2022 Q3,General Fertility Rates,15-44 years,Hispanic,65.4,"per 1,000 population",2.616
2022 Q3,General Fertility Rates,15-44 years,Non-Hispanic Black,56.4,"per 1,000 population",2.256
2022 Q3,General Fertility Rates,15-44 years,Non-Hispanic White,53.3,"per 1,000 population",2.132
2022 Q3,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q3,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q3,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q3,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q3,Teen Birth Rates,15-17 years,All races and origins,5.5,"per 1,000 population",0.22
2022 Q3,Teen Birth Rates,15-17 years,Hispanic,9.2,"per 1,000 population",0.368
2022 Q3,Teen Birth Rates,15-17 years,Non-Hispanic Black,9,"per 1,000 population",0.36
2022 Q3,Teen Birth Rates,15-17 years,Non-Hispanic White,3.1,"per 1,000 population",0.124
2022 Q3,Teen Birth Rates,18-19 years,All races and origins,25.8,"per 1,000 population",1.032
2022 Q3,Teen Birth Rates,18-19 years,Hispanic,39.8,"per 1,000 population",1.592
2022 Q3,Teen Birth Rates,18-19 years,Non-Hispanic Black,38.1,"per 1,000 population",1.524
2022 Q3,Teen Birth Rates,18-19 years,Non-Hispanic White,18,"per 1,000 population",0.72
2022 Q3,Teen Birth Rates,15-19 years,All races and origins,13.6,"per 1,000 population",0.544
2022 Q3,Teen Birth Rates,15-19 years,Hispanic,21.1,"per 1,000 population",0.844
2022 Q3,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.5,"per 1,000 population",0.82
2022 Q3,Teen Birth Rates,15-19 years,Non-Hispanic White,9.1,"per 1,000 population",0.364
2022 Q2,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q2,Age-specific Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q2,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q2,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q2,Age-specific Birth Rates,15-19 years,All races and origins,13.8,"per 1,000 population",0.552
2022 Q2,Age-specific Birth Rates,15-19 years,Hispanic,21.2,"per 1,000 population",0.848
2022 Q2,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.9,"per 1,000 population",0.836
2022 Q2,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.2,"per 1,000 population",0.368
2022 Q2,Age-specific Birth Rates,20-24 years,All races and origins,58.2,"per 1,000 population",2.328
2022 Q2,Age-specific Birth Rates,20-24 years,Hispanic,78.9,"per 1,000 population",3.156
2022 Q2,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,73.7,"per 1,000 population",2.948
2022 Q2,Age-specific Birth Rates,20-24 years,Non-Hispanic White,48.9,"per 1,000 population",1.956
2022 Q2,Age-specific Birth Rates,25-29 years,All races and origins,93.8,"per 1,000 population",3.752
2022 Q2,Age-specific Birth Rates,25-29 years,Hispanic,112.3,"per 1,000 population",4.492
2022 Q2,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,92.2,"per 1,000 population",3.688
2022 Q2,Age-specific Birth Rates,25-29 years,Non-Hispanic White,91.6,"per 1,000 population",3.664
2022 Q2,Age-specific Birth Rates,30-34 years,All races and origins,98.5,"per 1,000 population",3.94
2022 Q2,Age-specific Birth Rates,30-34 years,Hispanic,102.1,"per 1,000 population",4.084
2022 Q2,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,80.7,"per 1,000 population",3.228
2022 Q2,Age-specific Birth Rates,30-34 years,Non-Hispanic White,102,"per 1,000 population",4.08
2022 Q2,Age-specific Birth Rates,35-39 years,All races and origins,55.3,"per 1,000 population",2.212
2022 Q2,Age-specific Birth Rates,35-39 years,Hispanic,58.1,"per 1,000 population",2.324
2022 Q2,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50,"per 1,000 population",2
2022 Q2,Age-specific Birth Rates,35-39 years,Non-Hispanic White,53.7,"per 1,000 population",2.148
2022 Q2,Age-specific Birth Rates,40-44 years,All races and origins,12.5,"per 1,000 population",0.5
2022 Q2,Age-specific Birth Rates,40-44 years,Hispanic,15.1,"per 1,000 population",0.604
2022 Q2,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.5,"per 1,000 population",0.54
2022 Q2,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.8,"per 1,000 population",0.432
2022 Q2,Age-specific Birth Rates,45+ years,All races and origins,1,"per 1,000 population",0.04
2022 Q2,Age-specific Birth Rates,45+ years,Hispanic,1.1,"per 1,000 population",0.044
2022 Q2,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.3,"per 1,000 population",0.052
2022 Q2,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2022 Q2,General Fertility Rates,15-44 years,All races and origins,56.3,"per 1,000 population",2.252
2022 Q2,General Fertility Rates,15-44 years,Hispanic,65,"per 1,000 population",2.6
2022 Q2,General Fertility Rates,15-44 years,Non-Hispanic Black,57,"per 1,000 population",2.28
2022 Q2,General Fertility Rates,15-44 years,Non-Hispanic White,53.8,"per 1,000 population",2.152
2022 Q2,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q2,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q2,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2022 Q2,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q2,Teen Birth Rates,15-17 years,All races and origins,5.6,"per 1,000 population",0.224
2022 Q2,Teen Birth Rates,15-17 years,Hispanic,9.3,"per 1,000 population",0.372
2022 Q2,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.1,"per 1,000 population",0.364
2022 Q2,Teen Birth Rates,15-17 years,Non-Hispanic White,3.1,"per 1,000 population",0.124
2022 Q2,Teen Birth Rates,18-19 years,All races and origins,26,"per 1,000 population",1.04
2022 Q2,Teen Birth Rates,18-19 years,Hispanic,39.6,"per 1,000 population",1.584
2022 Q2,Teen Birth Rates,18-19 years,Non-Hispanic Black,38.8,"per 1,000 population",1.552
2022 Q2,Teen Birth Rates,18-19 years,Non-Hispanic White,18.1,"per 1,000 population",0.724
2022 Q2,Teen Birth Rates,15-19 years,All races and origins,13.8,"per 1,000 population",0.552
2022 Q2,Teen Birth Rates,15-19 years,Hispanic,21.2,"per 1,000 population",0.848
2022 Q2,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.9,"per 1,000 population",0.836
2022 Q2,Teen Birth Rates,15-19 years,Non-Hispanic White,9.2,"per 1,000 population",0.368
2022 Q1,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q1,Age-specific Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q1,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.4,"per 1,000 population",0.016
2022 Q1,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q1,Age-specific Birth Rates,15-19 years,All races and origins,14.3,"per 1,000 population",0.572
2022 Q1,Age-specific Birth Rates,15-19 years,Hispanic,22,"per 1,000 population",0.88
2022 Q1,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,22.2,"per 1,000 population",0.888
2022 Q1,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.6,"per 1,000 population",0.384
2022 Q1,Age-specific Birth Rates,20-24 years,All races and origins,61.8,"per 1,000 population",2.472
2022 Q1,Age-specific Birth Rates,20-24 years,Hispanic,83.7,"per 1,000 population",3.348
2022 Q1,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,79,"per 1,000 population",3.16
2022 Q1,Age-specific Birth Rates,20-24 years,Non-Hispanic White,51.8,"per 1,000 population",2.072
2022 Q1,Age-specific Birth Rates,25-29 years,All races and origins,93.1,"per 1,000 population",3.724
2022 Q1,Age-specific Birth Rates,25-29 years,Hispanic,110.5,"per 1,000 population",4.42
2022 Q1,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,91.7,"per 1,000 population",3.668
2022 Q1,Age-specific Birth Rates,25-29 years,Non-Hispanic White,91,"per 1,000 population",3.64
2022 Q1,Age-specific Birth Rates,30-34 years,All races and origins,98.1,"per 1,000 population",3.924
2022 Q1,Age-specific Birth Rates,30-34 years,Hispanic,100.2,"per 1,000 population",4.008
2022 Q1,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,80.2,"per 1,000 population",3.208
2022 Q1,Age-specific Birth Rates,30-34 years,Non-Hispanic White,102,"per 1,000 population",4.08
2022 Q1,Age-specific Birth Rates,35-39 years,All races and origins,55.3,"per 1,000 population",2.212
2022 Q1,Age-specific Birth Rates,35-39 years,Hispanic,57.5,"per 1,000 population",2.3
2022 Q1,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,49.8,"per 1,000 population",1.992
2022 Q1,Age-specific Birth Rates,35-39 years,Non-Hispanic White,53.9,"per 1,000 population",2.156
2022 Q1,Age-specific Birth Rates,40-44 years,All races and origins,12.5,"per 1,000 population",0.5
2022 Q1,Age-specific Birth Rates,40-44 years,Hispanic,15.1,"per 1,000 population",0.604
2022 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.4,"per 1,000 population",0.536
2022 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.8,"per 1,000 population",0.432
2022 Q1,Age-specific Birth Rates,45+ years,All races and origins,1,"per 1,000 population",0.04
2022 Q1,Age-specific Birth Rates,45+ years,Hispanic,1.1,"per 1,000 population",0.044
2022 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.3,"per 1,000 population",0.052
2022 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2022 Q1,General Fertility Rates,15-44 years,All races and origins,57.2,"per 1,000 population",2.288
2022 Q1,General Fertility Rates,15-44 years,Hispanic,65.4,"per 1,000 population",2.616
2022 Q1,General Fertility Rates,15-44 years,Non-Hispanic Black,58.1,"per 1,000 population",2.324
2022 Q1,General Fertility Rates,15-44 years,Non-Hispanic White,54.7,"per 1,000 population",2.188
2022 Q1,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2022 Q1,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2022 Q1,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.4,"per 1,000 population",0.016
2022 Q1,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2022 Q1,Teen Birth Rates,15-17 years,All races and origins,5.8,"per 1,000 population",0.232
2022 Q1,Teen Birth Rates,15-17 years,Hispanic,9.7,"per 1,000 population",0.388
2022 Q1,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.6,"per 1,000 population",0.384
2022 Q1,Teen Birth Rates,15-17 years,Non-Hispanic White,3.3,"per 1,000 population",0.132
2022 Q1,Teen Birth Rates,18-19 years,All races and origins,27.2,"per 1,000 population",1.088
2022 Q1,Teen Birth Rates,18-19 years,Hispanic,41.1,"per 1,000 population",1.644
2022 Q1,Teen Birth Rates,18-19 years,Non-Hispanic Black,41,"per 1,000 population",1.64
2022 Q1,Teen Birth Rates,18-19 years,Non-Hispanic White,19,"per 1,000 population",0.76
2022 Q1,Teen Birth Rates,15-19 years,All races and origins,14.3,"per 1,000 population",0.572
2022 Q1,Teen Birth Rates,15-19 years,Hispanic,22,"per 1,000 population",0.88
2022 Q1,Teen Birth Rates,15-19 years,Non-Hispanic Black,22.2,"per 1,000 population",0.888
2022 Q1,Teen Birth Rates,15-19 years,Non-Hispanic White,9.6,"per 1,000 population",0.384
